age,gender,current_country,highest_education,field_of_study,years_of_experience,english_proficiency,academic_score,current_salary_usd,available_funds_usd,loan_eligibility,family_support,risk_tolerance,target_role,career_switch,priority_income,priority_pr,priority_stability,uk_hourly_wage,uk_employment_rate,uk_psw_available,uk_pr_years_required,uk_university_tier,uk_degree_duration_years,uk_city,uk_cost_of_living_monthly,uk_accommodation_monthly,uk_relocation_cost,local_avg_salary,local_cost_of_living_monthly,local_employment_rate,uk_avg_salary_target_role,uk_skill_shortage,uk_tuition_cost_usd,uk_outcome_score
31,male,India,Master,Business Analyst,2.5,4,70,5098,14795,no,yes,high,Business Analyst,no,5,5,3,24,84,yes,5,Russell,2,Leeds,1115,601,1834,12713,404,72,49920,no,26217,21.3
23,male,India,Master,Cybersecurity Analyst,1.8,4,76,5677,14984,yes,yes,medium,Cybersecurity Analyst,no,5,4,1,36,71,yes,5,Non-Russell,1,Manchester,1442,593,3442,6974,430,60,74880,yes,12067,73.6
21,male,India,Bachelor,Web Developer,2.9,3,88,6881,10567,no,no,low,Software Engineer,no,1,4,1,30,84,yes,5,Russell,2,London,1034,568,3539,10487,318,56,62400,no,26364,39.7
28,female,India,Bachelor,Data Analyst,3.5,3,76,9287,24121,yes,yes,high,Business Analyst,yes,4,2,4,43,76,yes,5,Russell,2,Birmingham,982,564,2303,10447,524,67,89440,yes,18998,87.3
23,female,India,Master,Cybersecurity Analyst,0.3,5,83,8866,9674,yes,no,low,Business Analyst,yes,3,4,2,29,77,yes,5,Non-Russell,2,Birmingham,1290,692,3348,8853,405,64,60320,no,13802,52.5
23,male,India,Bachelor,Data Analyst,0.7,4,63,9622,18875,yes,no,low,AI Engineer,yes,4,5,5,29,70,yes,5,Non-Russell,2,Nottingham,946,561,2266,7689,353,74,60320,no,17901,53.2
21,male,India,Master,Web Developer,3.4,3,80,5378,19572,no,yes,high,Business Analyst,yes,1,4,3,39,84,yes,5,Russell,2,London,1291,519,2777,10671,525,65,81120,yes,21141,69.0
31,male,India,Master,Business Analyst,2.1,5,67,5248,8739,no,no,low,AI Engineer,no,3,1,5,30,78,yes,5,Non-Russell,2,Nottingham,1284,740,2908,11789,314,56,62400,no,16562,46.6
25,male,India,Master,Web Developer,4.4,3,64,7735,9545,no,no,medium,Software Engineer,no,3,2,1,31,73,yes,5,Russell,1,London,1280,702,3806,12920,347,62,64480,no,25362,37.2
30,female,India,Master,Business Analyst,3.9,3,85,9650,17327,no,yes,high,Software Engineer,no,2,2,2,39,77,yes,5,Russell,1,Leeds,976,799,2988,12776,438,73,81120,yes,21084,69.9
27,female,India,Bachelor,Web Developer,5.1,4,75,8241,13127,yes,yes,low,Cybersecurity Analyst,no,4,5,2,29,84,yes,5,Russell,2,London,1158,694,1533,11407,333,74,60320,no,20045,42.2
30,female,India,Bachelor,Cybersecurity Analyst,4.2,4,63,10079,17065,yes,yes,medium,AI Engineer,no,4,4,5,37,79,yes,5,Russell,1,Manchester,1503,561,3873,10618,509,71,76960,yes,26952,53.0
29,female,India,Bachelor,AI Engineer,2.6,3,87,5264,28939,yes,no,medium,AI Engineer,no,2,1,1,29,76,yes,5,Russell,1,Birmingham,1298,606,2336,6725,318,70,60320,no,18204,48.1
32,male,India,Bachelor,Cybersecurity Analyst,4.0,3,81,5907,18492,yes,yes,low,Data Analyst,yes,5,4,5,44,83,yes,5,Non-Russell,2,Leeds,999,624,3524,6161,495,64,91520,yes,15825,98.7
27,male,India,Master,Data Analyst,1.7,4,88,11036,21749,no,no,medium,Data Analyst,no,1,3,4,23,82,yes,5,Russell,1,Birmingham,1400,800,3139,13784,414,59,47840,no,19552,21.6
29,male,India,Master,Cybersecurity Analyst,1.8,5,74,10487,17045,yes,no,high,Cybersecurity Analyst,no,4,4,2,44,79,yes,5,Non-Russell,2,Nottingham,1282,766,2238,12033,374,68,91520,yes,13267,88.3
28,female,India,Bachelor,Software Engineer,4.7,4,71,9868,28116,yes,no,low,Software Engineer,no,2,5,2,27,76,yes,5,Russell,1,Leeds,1091,701,2989,6658,449,73,56160,no,18824,47.3
32,male,India,Master,Data Analyst,2.7,3,64,5058,26667,yes,no,medium,Web Developer,yes,3,4,4,37,71,yes,5,Non-Russell,2,Manchester,1479,661,2827,13349,335,58,76960,yes,18024,58.6
22,female,India,Master,Web Developer,4.8,5,89,6749,17521,no,no,medium,Data Analyst,no,2,2,1,41,70,yes,5,Russell,1,Birmingham,1501,843,3385,8897,541,74,85280,yes,23578,70.5
21,female,India,Master,Data Analyst,4.9,3,82,6048,16669,no,yes,low,Business Analyst,no,5,1,2,26,73,yes,5,Non-Russell,1,London,1244,801,1616,11668,450,70,54080,no,17515,37.7
27,male,India,Bachelor,AI Engineer,5.1,5,75,10115,19283,no,yes,low,Software Engineer,yes,1,5,3,19,81,yes,5,Russell,1,London,909,611,3004,12225,362,69,39520,no,25390,12.3
27,male,India,Bachelor,Business Analyst,5.5,3,73,8248,14998,yes,no,low,Web Developer,no,5,3,3,24,71,yes,5,Russell,1,London,1163,836,3950,10619,453,63,49920,no,23197,27.8
34,male,India,Bachelor,Web Developer,2.6,5,69,6476,21440,no,no,low,Business Analyst,yes,3,1,1,26,77,yes,5,Non-Russell,2,Leeds,1167,531,3533,10099,487,57,54080,no,12367,47.9
28,female,India,Master,Data Analyst,1.9,5,66,8016,20697,yes,yes,high,AI Engineer,yes,3,1,4,42,79,yes,5,Non-Russell,1,Manchester,1529,597,3199,8542,522,63,87360,yes,18201,79.7
25,male,India,Bachelor,Web Developer,3.5,3,72,8603,21733,yes,yes,low,Software Engineer,no,3,2,5,29,76,yes,5,Non-Russell,2,Manchester,1470,746,3423,7578,392,72,60320,no,19448,44.0
23,female,India,Bachelor,Web Developer,2.2,5,79,7197,29797,yes,no,high,Cybersecurity Analyst,no,3,2,1,22,77,yes,5,Non-Russell,2,Manchester,1094,760,3110,9994,304,58,45760,no,14604,33.0
32,male,India,Bachelor,Web Developer,3.6,4,87,8586,9269,no,no,high,AI Engineer,yes,2,2,5,18,80,yes,5,Non-Russell,1,Birmingham,1461,690,3780,7074,465,73,37440,no,19269,17.1
28,female,India,Bachelor,Business Analyst,4.2,3,88,7553,15868,no,yes,low,AI Engineer,no,3,5,1,39,75,yes,5,Non-Russell,1,Leeds,1306,528,2807,11380,324,58,81120,yes,18191,68.6
26,female,India,Bachelor,Cybersecurity Analyst,4.1,4,64,8440,20373,yes,yes,high,Business Analyst,no,3,4,3,32,70,yes,5,Russell,2,London,1195,547,2475,9205,397,63,66560,no,25595,46.3
31,male,India,Bachelor,Web Developer,2.2,3,88,10031,26987,yes,no,low,AI Engineer,yes,2,1,4,25,83,yes,5,Russell,1,Birmingham,996,749,3556,10044,567,55,52000,no,18424,41.5
23,female,India,Master,Software Engineer,1.0,5,62,5761,13961,no,yes,low,Data Analyst,yes,3,4,3,18,82,yes,5,Russell,2,Manchester,1361,725,2214,11718,449,55,37440,no,21051,10.2
21,female,India,Master,AI Engineer,2.6,5,74,4220,23734,no,yes,medium,Software Engineer,no,5,4,4,35,82,yes,5,Non-Russell,1,London,1538,771,3425,9433,551,74,72800,yes,12058,68.2
23,male,India,Bachelor,Business Analyst,0.9,5,63,10034,17661,no,no,low,Data Analyst,yes,5,2,5,30,81,yes,5,Non-Russell,2,Leeds,986,652,3926,12711,383,73,62400,no,16256,51.4
25,female,India,Bachelor,Data Analyst,5.3,3,74,10038,16569,yes,no,medium,Business Analyst,no,4,4,1,18,78,yes,5,Non-Russell,1,Nottingham,976,827,3928,13384,584,57,37440,no,12102,27.4
34,male,India,Master,Business Analyst,2.1,4,73,8818,15557,yes,no,high,Web Developer,no,5,1,2,22,75,yes,5,Russell,1,Manchester,1382,784,2343,6877,471,64,45760,no,19267,29.2
23,female,India,Master,Data Analyst,0.9,4,79,11192,26064,yes,yes,medium,Business Analyst,no,1,1,2,35,81,yes,5,Non-Russell,2,Manchester,1045,679,1859,7091,520,66,72800,yes,16507,72.6
21,male,India,Bachelor,Business Analyst,0.2,3,78,8623,16433,no,no,high,Software Engineer,no,1,3,4,33,82,yes,5,Russell,2,Manchester,1560,801,3723,9059,408,72,68640,yes,21266,49.2
25,male,India,Bachelor,Data Analyst,3.9,3,72,11349,23653,no,yes,low,AI Engineer,yes,1,5,4,43,79,yes,5,Non-Russell,2,Manchester,1010,652,1984,13158,326,68,89440,yes,16278,83.9
30,female,India,Bachelor,Web Developer,3.8,4,69,9618,17111,no,no,high,Cybersecurity Analyst,no,2,4,3,27,70,yes,5,Non-Russell,1,London,1540,733,2928,13007,545,64,56160,no,18560,34.2
27,female,India,Bachelor,Cybersecurity Analyst,2.0,4,80,6888,13682,yes,no,high,Business Analyst,yes,5,5,2,21,70,yes,5,Non-Russell,1,Leeds,1577,522,3580,13723,354,64,43680,no,19283,13.1
34,female,India,Master,Data Analyst,0.4,4,64,5664,23479,yes,yes,low,Software Engineer,no,1,5,3,18,77,yes,5,Russell,1,Birmingham,1196,593,2988,11262,432,72,37440,no,25129,7.9
27,female,India,Bachelor,Data Analyst,2.5,4,86,11209,23047,no,yes,high,Cybersecurity Analyst,no,4,5,5,40,75,yes,5,Non-Russell,1,London,1325,869,2195,13513,351,55,83200,yes,18142,68.7
31,female,India,Bachelor,Software Engineer,1.9,3,82,7986,16084,yes,no,low,AI Engineer,yes,2,5,2,25,77,yes,5,Russell,2,Leeds,1548,744,3704,11673,552,69,52000,no,26876,20.1
29,male,India,Bachelor,Data Analyst,4.1,3,79,8576,29751,no,no,medium,Web Developer,no,4,1,5,22,77,yes,5,Non-Russell,2,Birmingham,1233,789,2064,7674,568,62,45760,no,12956,39.9
30,female,India,Bachelor,Software Engineer,3.6,5,88,6977,24453,yes,yes,low,Business Analyst,yes,5,4,1,19,84,yes,5,Non-Russell,1,Manchester,1422,659,3331,7608,597,57,39520,no,18922,22.1
30,male,India,Master,AI Engineer,2.2,4,79,5871,28308,no,no,low,Web Developer,yes,3,3,3,41,80,yes,5,Non-Russell,1,Leeds,1482,872,1701,8826,378,72,85280,yes,19843,73.2
32,male,India,Master,Web Developer,1.3,5,84,11915,14200,yes,yes,high,Software Engineer,no,4,5,4,34,83,yes,5,Non-Russell,1,Manchester,1570,784,2698,7217,317,63,70720,yes,14702,61.0
33,female,India,Master,Software Engineer,5.9,3,65,11015,18278,yes,yes,medium,Web Developer,no,3,3,2,24,77,yes,5,Russell,2,Leeds,1437,508,2767,9052,557,70,49920,no,27269,22.0
23,male,India,Bachelor,Cybersecurity Analyst,2.7,3,63,5462,10007,no,no,low,Web Developer,no,2,1,3,34,79,yes,5,Non-Russell,2,Nottingham,1061,684,2969,11786,406,69,70720,yes,14365,64.7
27,male,India,Bachelor,Web Developer,4.1,5,61,9521,23802,no,yes,medium,Software Engineer,no,4,1,4,23,84,yes,5,Russell,1,Manchester,1329,794,1573,13413,346,59,47840,no,20843,20.4
21,male,India,Master,Software Engineer,0.8,4,81,11713,21329,no,yes,medium,Software Engineer,yes,4,2,1,39,76,yes,5,Non-Russell,2,Manchester,1513,634,1595,6313,545,67,81120,yes,16701,77.1
24,male,India,Bachelor,Web Developer,2.9,4,75,4344,10779,no,yes,high,Business Analyst,no,2,5,2,32,76,yes,5,Non-Russell,1,Manchester,968,609,3396,6729,388,74,66560,no,19417,60.6
33,female,India,Bachelor,Web Developer,0.2,4,77,4044,29304,no,no,low,Web Developer,no,2,2,5,22,79,yes,5,Non-Russell,1,London,1032,568,1672,10039,502,61,45760,no,19054,31.2
24,male,India,Master,Web Developer,3.0,4,64,11813,8755,yes,yes,high,Cybersecurity Analyst,no,1,3,1,32,73,yes,5,Russell,2,Birmingham,1088,635,3422,6383,539,70,66560,no,22224,57.9
34,female,India,Master,AI Engineer,5.8,5,81,6068,14495,no,no,low,Software Engineer,no,5,4,4,35,78,yes,5,Non-Russell,2,Manchester,1577,595,3702,11884,567,61,72800,yes,12496,64.2
25,female,India,Master,Cybersecurity Analyst,2.3,5,63,9753,18187,no,no,medium,AI Engineer,no,4,2,2,35,81,yes,5,Russell,2,Manchester,1472,618,3836,7812,312,70,72800,yes,23363,53.3
27,male,India,Master,Business Analyst,0.2,3,89,11237,17513,no,no,low,Web Developer,yes,4,1,2,42,71,yes,5,Russell,2,London,1178,873,1757,8324,436,67,87360,yes,18425,83.8
27,female,India,Bachelor,Business Analyst,0.2,4,72,9983,26714,yes,yes,low,Software Engineer,no,2,5,1,38,80,yes,5,Non-Russell,1,London,1329,773,3721,11191,472,71,79040,yes,14865,72.3
33,female,India,Bachelor,Software Engineer,2.3,4,78,11016,25400,no,yes,medium,Cybersecurity Analyst,yes,2,3,2,38,78,yes,5,Russell,2,Nottingham,1524,857,1829,11248,529,63,79040,yes,26941,54.8
31,female,India,Master,Web Developer,1.0,4,82,10191,15347,no,no,medium,Business Analyst,no,5,1,4,40,79,yes,5,Non-Russell,2,Leeds,1441,865,2754,9429,497,66,83200,yes,13022,80.9
33,male,India,Bachelor,Software Engineer,0.1,5,61,5514,22249,no,no,low,Web Developer,no,2,4,1,23,72,yes,5,Russell,2,Manchester,1060,837,1660,8745,542,67,47840,no,18043,37.0
24,female,India,Master,AI Engineer,4.5,4,72,6598,22879,yes,yes,high,Software Engineer,no,3,5,5,19,83,yes,5,Russell,2,Leeds,1352,676,1685,11644,342,63,39520,no,24298,7.3
33,female,India,Master,AI Engineer,2.8,5,70,10430,22057,yes,no,low,Software Engineer,yes,3,4,1,44,82,yes,5,Russell,1,London,1069,860,1642,7864,578,59,91520,yes,23042,87.6
27,female,India,Bachelor,Data Analyst,1.7,4,89,5001,20057,no,no,medium,AI Engineer,no,3,4,1,34,84,yes,5,Russell,1,London,1597,736,2139,9291,378,61,70720,yes,19559,52.7
31,male,India,Master,AI Engineer,5.4,4,81,5033,12938,yes,yes,high,AI Engineer,yes,3,5,5,38,71,yes,5,Non-Russell,2,Nottingham,956,771,3574,13173,578,55,79040,yes,18346,72.7
23,female,India,Bachelor,Data Analyst,0.7,3,88,10685,27222,no,no,medium,Web Developer,yes,5,5,4,21,82,yes,5,Russell,2,Birmingham,1139,776,1701,10846,531,58,43680,no,25071,18.8
26,male,India,Bachelor,Cybersecurity Analyst,5.7,4,63,6040,8737,yes,yes,medium,Software Engineer,no,4,4,3,29,73,yes,5,Non-Russell,1,London,1257,637,3114,11078,400,58,60320,no,13489,50.5
32,male,India,Bachelor,Software Engineer,1.9,4,81,10899,14200,no,yes,high,Web Developer,yes,3,3,3,36,74,yes,5,Russell,1,Manchester,1100,861,1971,12767,461,70,74880,yes,21951,59.4
22,male,India,Bachelor,Cybersecurity Analyst,5.3,3,79,4273,16371,yes,no,medium,Software Engineer,no,2,5,5,19,71,yes,5,Non-Russell,2,Nottingham,1343,631,3806,6227,443,59,39520,no,14334,28.5
30,male,India,Master,AI Engineer,3.6,5,79,9051,24615,no,yes,medium,AI Engineer,no,3,1,4,43,82,yes,5,Non-Russell,1,Birmingham,1201,543,3602,12139,408,58,89440,yes,18216,81.0
33,male,India,Bachelor,Cybersecurity Analyst,5.0,5,74,6647,26301,no,yes,medium,Cybersecurity Analyst,yes,5,2,2,19,84,yes,5,Russell,1,Nottingham,1005,622,2410,12073,532,60,39520,no,26303,12.4
34,male,India,Master,Cybersecurity Analyst,5.9,4,63,5779,16534,yes,yes,medium,Data Analyst,no,2,3,5,31,70,yes,5,Russell,1,London,1000,635,3071,8064,410,57,64480,no,23118,51.4
29,female,India,Master,Cybersecurity Analyst,1.7,5,68,8476,10623,no,no,medium,Data Analyst,no,3,5,3,32,79,yes,5,Non-Russell,1,Birmingham,996,866,2529,11704,531,62,66560,no,16432,59.8
25,male,India,Master,AI Engineer,5.8,4,66,9448,16646,no,no,medium,Software Engineer,yes,4,5,4,37,80,yes,5,Russell,2,Leeds,1564,872,2573,6011,537,71,76960,yes,25297,60.4
26,female,India,Master,Web Developer,2.3,3,78,4478,21543,no,no,medium,AI Engineer,yes,2,3,1,19,74,yes,5,Russell,1,Birmingham,928,625,3659,13765,496,72,39520,no,22163,16.1
32,female,India,Bachelor,Cybersecurity Analyst,2.3,3,78,10158,20817,no,yes,medium,Business Analyst,yes,2,2,4,21,78,yes,5,Russell,1,Manchester,1405,774,3693,7522,572,72,43680,no,26026,18.3
32,male,India,Bachelor,Data Analyst,2.0,4,65,4515,26660,yes,yes,medium,Business Analyst,yes,4,4,4,36,84,yes,5,Russell,2,Leeds,1564,563,1729,6691,385,66,74880,yes,27019,52.4
32,female,India,Master,AI Engineer,3.2,3,65,8286,28258,no,no,low,Data Analyst,yes,2,1,3,26,81,yes,5,Russell,2,Leeds,1337,795,3246,9705,594,55,54080,no,27944,27.7
32,female,India,Master,Cybersecurity Analyst,0.9,3,79,5191,28914,yes,no,low,Cybersecurity Analyst,yes,3,5,3,24,81,yes,5,Russell,2,Manchester,1278,731,2829,7739,340,66,49920,no,26067,24.3
24,female,India,Bachelor,Web Developer,3.3,4,74,11688,12497,yes,yes,medium,Data Analyst,no,2,2,2,30,84,yes,5,Russell,1,Leeds,972,550,1960,7525,347,65,62400,no,20939,51.7
34,female,India,Master,AI Engineer,3.3,4,74,6668,15933,yes,no,low,Software Engineer,yes,3,1,2,44,74,yes,5,Russell,2,London,1153,636,2306,6069,376,67,91520,yes,23727,84.6
34,male,India,Bachelor,Business Analyst,4.6,3,84,9256,26519,yes,no,high,Cybersecurity Analyst,yes,4,3,5,29,81,yes,5,Russell,1,Birmingham,1415,657,3431,12251,477,57,60320,no,26064,31.8
31,female,India,Master,Web Developer,5.0,5,79,10297,14727,no,no,low,Business Analyst,no,1,5,1,20,80,yes,5,Non-Russell,2,Birmingham,1449,555,3773,8248,556,62,41600,no,14962,27.9
30,male,India,Bachelor,Data Analyst,2.6,5,68,5411,20156,no,no,medium,AI Engineer,no,4,4,2,30,79,yes,5,Russell,1,Manchester,919,580,1558,9123,416,57,62400,no,23405,48.4
27,female,India,Master,Cybersecurity Analyst,1.8,4,63,7280,25949,yes,no,medium,AI Engineer,yes,3,3,3,32,78,yes,5,Russell,2,London,1524,731,2599,11668,318,71,66560,no,25285,37.4
32,female,India,Master,Business Analyst,1.6,4,77,4271,24692,no,yes,low,Software Engineer,yes,5,5,4,31,83,yes,5,Russell,2,Leeds,1434,898,3975,10724,358,67,64480,no,26351,36.5
29,male,India,Bachelor,Business Analyst,1.2,5,77,4142,16627,yes,no,medium,Data Analyst,no,4,2,5,41,82,yes,5,Russell,1,Birmingham,1320,825,2227,9330,495,64,85280,yes,23880,71.7
27,female,India,Master,AI Engineer,0.3,3,64,11778,16368,no,no,high,Software Engineer,yes,5,1,2,26,81,yes,5,Russell,2,Birmingham,1345,627,2655,13649,406,71,54080,no,19013,31.0
34,female,India,Master,Business Analyst,2.1,5,79,10008,24522,no,yes,high,AI Engineer,yes,5,1,4,30,79,yes,5,Non-Russell,2,Birmingham,1035,625,1997,7287,583,57,62400,no,17293,59.3
21,female,India,Bachelor,Data Analyst,1.6,5,82,11987,24577,no,yes,medium,Business Analyst,no,3,5,4,40,75,yes,5,Non-Russell,2,Birmingham,1404,816,2409,11001,333,67,83200,yes,12803,77.2
21,male,India,Master,Data Analyst,5.8,5,89,9188,27641,yes,yes,high,AI Engineer,yes,3,3,2,39,72,yes,5,Russell,2,Nottingham,1200,579,2828,12446,594,60,81120,yes,19175,71.7
29,female,India,Bachelor,Software Engineer,3.3,5,70,10390,23577,yes,yes,high,Cybersecurity Analyst,no,1,4,1,21,73,yes,5,Non-Russell,2,Manchester,1508,876,3614,13080,550,68,43680,no,18390,19.1
31,male,India,Bachelor,Data Analyst,2.1,4,64,7332,27619,no,no,low,Web Developer,yes,2,2,1,38,73,yes,5,Russell,1,Leeds,932,856,1729,6575,425,64,79040,yes,23247,72.9
34,female,India,Master,Web Developer,3.5,4,81,4787,21472,yes,no,high,AI Engineer,no,4,5,5,25,70,yes,5,Russell,1,Leeds,1546,832,1832,13721,405,74,52000,no,25518,17.0
29,male,India,Master,Business Analyst,0.8,3,85,10222,8942,yes,no,low,AI Engineer,no,3,2,1,20,72,yes,5,Non-Russell,2,Manchester,1177,674,3824,12698,479,70,41600,no,15723,24.3
24,male,India,Master,Data Analyst,2.7,3,63,5681,12620,no,no,medium,Web Developer,no,4,1,5,19,72,yes,5,Non-Russell,2,London,1032,644,3396,8172,409,72,39520,no,14901,29.5
33,female,India,Master,AI Engineer,3.8,3,88,4622,24195,yes,yes,low,Cybersecurity Analyst,yes,5,4,3,36,82,yes,5,Non-Russell,1,Manchester,1426,625,3107,13437,527,67,74880,yes,18396,59.1
29,female,India,Master,Software Engineer,2.9,3,71,7841,19154,no,yes,medium,Data Analyst,no,2,2,2,40,83,yes,5,Non-Russell,1,Birmingham,1025,681,2220,12116,420,64,83200,yes,18618,75.5
23,male,India,Master,Business Analyst,2.4,5,61,7676,14353,no,no,medium,AI Engineer,yes,1,5,4,25,70,yes,5,Non-Russell,2,Birmingham,1244,718,3691,10954,406,60,52000,no,12175,42.0
27,male,India,Master,Software Engineer,6.0,4,72,6572,29341,no,no,medium,Software Engineer,no,4,4,5,34,82,yes,5,Russell,1,Manchester,916,777,2774,6744,430,64,70720,yes,23264,62.4
26,female,India,Bachelor,Business Analyst,5.3,4,69,10915,17145,yes,no,medium,AI Engineer,no,2,3,1,30,78,yes,5,Russell,2,Manchester,1461,582,2190,8527,322,59,62400,no,19777,44.1
28,male,India,Master,AI Engineer,3.7,3,68,9033,17494,no,no,medium,Software Engineer,no,1,5,5,24,80,yes,5,Russell,2,Leeds,1546,640,1556,12275,444,60,49920,no,18059,26.2
31,female,India,Bachelor,Software Engineer,3.4,3,69,11788,21562,no,yes,low,Cybersecurity Analyst,yes,4,2,5,26,70,yes,5,Non-Russell,2,Leeds,1529,833,3855,9073,453,61,54080,no,17691,36.4
29,female,India,Master,Cybersecurity Analyst,3.7,5,66,11497,27765,yes,no,medium,AI Engineer,yes,2,4,1,29,78,yes,5,Russell,2,Nottingham,1277,594,3721,10210,406,65,60320,no,24986,36.8
34,female,India,Master,Web Developer,1.2,5,63,7260,10880,yes,yes,high,Cybersecurity Analyst,no,3,5,1,31,70,yes,5,Non-Russell,1,Nottingham,959,864,2985,10576,445,70,64480,no,16349,58.0
25,female,India,Bachelor,Web Developer,2.4,3,78,9214,29271,yes,yes,high,Cybersecurity Analyst,yes,4,4,2,31,71,yes,5,Russell,1,Birmingham,1536,693,2249,11076,551,66,64480,no,26527,37.3
21,male,India,Master,Business Analyst,0.2,4,69,8712,8545,yes,yes,medium,Data Analyst,yes,2,4,4,32,71,yes,5,Non-Russell,1,Nottingham,1366,609,2177,7024,369,66,66560,no,16998,56.9
23,female,India,Master,Cybersecurity Analyst,2.9,4,89,9127,22132,no,yes,high,AI Engineer,yes,1,4,2,20,83,yes,5,Non-Russell,2,Nottingham,1527,551,2059,12474,330,74,41600,no,14154,18.9
30,male,India,Bachelor,Software Engineer,3.3,4,62,4066,21304,yes,no,low,Software Engineer,no,2,2,2,32,75,yes,5,Russell,1,London,1290,602,3162,11696,392,59,66560,no,22380,45.7
32,female,India,Master,Cybersecurity Analyst,1.4,3,84,11663,9927,yes,no,low,Software Engineer,yes,3,5,1,36,76,yes,5,Russell,2,Manchester,1584,600,3204,6941,436,70,74880,yes,24097,56.3
28,male,India,Master,Cybersecurity Analyst,5.8,4,80,8286,28536,yes,no,medium,AI Engineer,no,4,1,1,41,80,yes,5,Russell,2,Leeds,1086,641,3478,11050,462,60,85280,yes,24458,71.8
31,female,India,Master,Software Engineer,5.5,5,88,11533,24388,yes,no,medium,Web Developer,no,4,1,4,37,70,yes,5,Russell,1,Nottingham,1397,700,1848,11756,380,63,76960,yes,27151,51.0
26,male,India,Bachelor,AI Engineer,4.3,5,78,10911,19673,no,yes,medium,Data Analyst,no,4,2,5,31,72,yes,5,Non-Russell,2,Leeds,1499,818,2590,6767,375,59,64480,no,19085,50.1
28,male,India,Master,Cybersecurity Analyst,3.2,3,80,8616,29917,yes,yes,high,Data Analyst,yes,3,2,2,25,71,yes,5,Russell,2,Nottingham,1260,698,3877,8438,362,70,52000,no,22166,31.6
29,female,India,Master,Cybersecurity Analyst,5.2,5,61,9085,23372,no,yes,high,Data Analyst,no,1,4,4,22,77,yes,5,Non-Russell,2,Nottingham,1348,783,3741,6833,399,72,45760,no,16179,32.6
24,female,India,Master,AI Engineer,0.8,3,86,5140,29762,yes,no,low,Software Engineer,yes,4,5,2,36,78,yes,5,Russell,1,Birmingham,1593,716,2678,8190,347,73,74880,yes,26157,50.6
21,female,India,Master,Cybersecurity Analyst,4.7,4,79,6314,10663,no,yes,high,Cybersecurity Analyst,yes,1,5,5,21,82,yes,5,Russell,2,London,1579,545,3219,12471,373,66,43680,no,27313,4.7
34,female,India,Bachelor,Cybersecurity Analyst,0.7,4,69,9730,23033,no,yes,low,Web Developer,no,2,3,2,31,71,yes,5,Russell,1,Manchester,1080,527,3813,11877,491,56,64480,no,23419,46.2
21,male,India,Bachelor,Cybersecurity Analyst,4.8,4,61,6532,17465,yes,yes,high,Data Analyst,no,1,3,3,33,71,yes,5,Russell,2,Manchester,1029,501,3715,6627,329,64,68640,yes,27290,51.6
30,female,India,Master,Web Developer,1.7,5,61,7580,11326,no,yes,low,Software Engineer,no,1,1,4,37,79,yes,5,Russell,1,Birmingham,1048,882,3692,6376,456,66,76960,yes,26334,65.3
24,male,India,Master,Data Analyst,5.3,3,87,11465,11659,yes,no,medium,Software Engineer,yes,4,3,1,41,84,yes,5,Non-Russell,2,Birmingham,1371,516,3733,9886,565,68,85280,yes,13940,83.8
32,male,India,Bachelor,AI Engineer,5.7,4,83,5187,25515,no,yes,high,Cybersecurity Analyst,yes,5,3,2,23,78,yes,5,Russell,1,Manchester,1522,814,2385,6089,555,72,47840,no,27260,21.8
34,female,India,Bachelor,Cybersecurity Analyst,0.9,3,76,8471,12763,no,yes,low,AI Engineer,no,5,1,4,40,83,yes,5,Non-Russell,1,Manchester,1399,887,2364,8855,338,73,83200,yes,16996,74.8
27,male,India,Master,Web Developer,2.8,4,75,8748,18828,no,no,high,AI Engineer,no,3,1,4,42,73,yes,5,Russell,2,London,1548,576,2285,11116,354,60,87360,yes,22187,68.6
22,male,India,Bachelor,AI Engineer,5.9,5,75,7339,22820,yes,no,medium,Data Analyst,yes,3,3,2,23,74,yes,5,Non-Russell,2,Nottingham,1254,886,1956,7065,327,59,47840,no,12656,39.7
23,male,India,Master,Business Analyst,2.9,5,73,4548,19221,no,no,low,Data Analyst,yes,5,5,1,20,82,yes,5,Russell,2,London,1110,870,1844,12066,417,70,41600,no,24177,14.4
21,male,India,Bachelor,Business Analyst,5.2,3,66,9193,19211,yes,yes,high,Web Developer,no,2,3,1,32,80,yes,5,Russell,2,Manchester,1557,664,2053,7058,508,68,66560,no,22773,48.8
25,female,India,Bachelor,Cybersecurity Analyst,3.5,5,80,11675,21569,no,yes,high,Cybersecurity Analyst,yes,4,4,2,20,78,yes,5,Russell,1,Nottingham,1495,596,2520,9059,374,67,41600,no,21435,15.2
21,female,India,Bachelor,Web Developer,2.3,5,70,8087,13092,no,yes,medium,Data Analyst,yes,4,4,4,28,75,yes,5,Non-Russell,2,Manchester,929,604,2287,11613,364,56,58240,no,14838,49.9
28,female,India,Bachelor,Web Developer,1.7,3,83,4072,14022,no,yes,medium,Cybersecurity Analyst,yes,2,4,1,20,79,yes,5,Non-Russell,1,London,1476,523,3319,10072,399,56,41600,no,16946,20.3
21,female,India,Master,AI Engineer,1.2,4,60,10451,20569,no,no,low,Software Engineer,yes,2,2,2,27,81,yes,5,Russell,2,London,923,699,2204,8600,345,66,56160,no,23799,39.5
31,male,India,Bachelor,AI Engineer,4.6,5,70,4198,27543,no,yes,high,Data Analyst,yes,5,4,2,35,78,yes,5,Russell,1,London,1121,534,2627,10219,455,55,72800,yes,18965,63.4
